Partida,Tiempo,Cantidad_palabras_a_adivinar,Nombre_del_evento,Nick,Genero,Edad,Estado,Palabra,Nivel
15,1624480137.2306595,6,intento,akira,Mujer,22,ok,IDOLiSH7,1
15,1624480138.193291,6,intento,akira,Mujer,22,ok,Anisong Station,1
15,1624480138.494498,6,fin,akira,Mujer,22,finalizada,,1
16,1624480143.0719097,6,inicio_partida,akira,Mujer,22,,,1
16,1624480143.7368212,6,intento,akira,Mujer,22,ok,Anisong Station,1
16,1624480144.5721033,6,intento,akira,Mujer,22,error,White Album 2,1
16,1624480145.9733431,6,intento,akira,Mujer,22,error,KONOSUBA -God's blessing on this wonderful world!,1
16,1624480147.5435815,6,intento,akira,Mujer,22,error,Meiji Tokyo Renka,1
16,1624480149.2233336,6,intento,akira,Mujer,22,ok,White Album 2,1
16,1624480150.5744956,6,intento,akira,Mujer,22,error,AKB0048,1
16,1624480152.3499703,6,intento,akira,Mujer,22,ok,Meiji Tokyo Renka,1
16,1624480153.1524205,6,intento,akira,Mujer,22,error,IDOLiSH7,1
16,1624480154.6569057,6,intento,akira,Mujer,22,error,AKB0048,1
16,1624480156.1743343,6,intento,akira,Mujer,22,error,AKB0048,1
16,1624480157.5848768,6,intento,akira,Mujer,22,ok,AKB0048,1
16,1624480158.5729837,6,intento,akira,Mujer,22,ok,IDOLiSH7,1
16,1624480159.4062407,6,intento,akira,Mujer,22,ok,KONOSUBA -God's blessing on this wonderful world!,1
16,1624480159.7076576,6,fin,akira,Mujer,22,finalizada,,1
17,1624480163.4306982,6,inicio_partida,akira,Mujer,22,,,1
17,1624480164.1475885,6,intento,akira,Mujer,22,error,Anisong Station,1
17,1624480165.7414277,6,intento,akira,Mujer,22,error,KONOSUBA -God's blessing on this wonderful world!,1
17,1624480167.6975365,6,intento,akira,Mujer,22,ok,Meiji Tokyo Renka,1
17,1624480168.6156337,6,intento,akira,Mujer,22,error,IDOLiSH7,1
17,1624480170.2689378,6,intento,akira,Mujer,22,error,KONOSUBA -God's blessing on this wonderful world!,1
17,1624480171.9967687,6,intento,akira,Mujer,22,ok,IDOLiSH7,1
17,1624480173.1664307,6,intento,akira,Mujer,22,ok,KONOSUBA -God's blessing on this wonderful world!,1
17,1624480174.5914254,6,intento,akira,Mujer,22,error,AKB0048,1
17,1624480175.9484608,6,intento,akira,Mujer,22,error,White Album 2,1
17,1624480177.3992298,6,intento,akira,Mujer,22,ok,White Album 2,1
17,1624480178.4969172,6,intento,akira,Mujer,22,error,Anisong Station,1
17,1624480180.0799837,6,intento,akira,Mujer,22,ok,Anisong Station,1
17,1624480180.9166617,6,intento,akira,Mujer,22,ok,AKB0048,1
17,1624480181.2182918,6,fin,akira,Mujer,22,finalizada,,1
18,1624480348.2358856,6,inicio_partida,akira,Mujer,22,,,1
18,1624480350.007587,6,intento,akira,Mujer,22,ok,Girlish number,1
18,1624480351.0343318,6,intento,akira,Mujer,22,error,Love Live!,1
18,1624480352.7723746,6,intento,akira,Mujer,22,ok,Love Live! Sunshine!!,1
18,1624480354.1609805,6,intento,akira,Mujer,22,error,AKB0048,1
18,1624480356.2303076,6,intento,akira,Mujer,22,error,SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-,1
18,1624480357.8761997,6,intento,akira,Mujer,22,ok,AKB0048,1
18,1624480359.1018512,6,intento,akira,Mujer,22,ok,Love Live!,1
18,1624480360.3275251,6,intento,akira,Mujer,22,error,Starmyu,1
18,1624480361.870173,6,intento,akira,Mujer,22,ok,Starmyu,1
18,1624480362.8638175,6,intento,akira,Mujer,22,ok,SHONEN HOLLYWOOD -HOLLY STAGE FOR 49-,1
18,1624480363.1656644,6,fin,akira,Mujer,22,finalizada,,1
19,1624480384.9483116,6,inicio_partida,akira,Mujer,22,,,1
19,1624480385.7917693,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
19,1624480387.4267166,6,intento,akira,Mujer,22,error,The Royal Tutor,1
19,1624480388.8292446,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
19,1624480390.4178863,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
19,1624480391.4746473,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
19,1624480393.6229117,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
19,1624480395.7533383,6,intento,akira,Mujer,22,error,We Rent Tsukumogami,1
19,1624480398.1072104,6,intento,akira,Mujer,22,error,Battle Girls - Time Paradox,1
19,1624480399.5796485,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
19,1624480400.7866385,6,intento,akira,Mujer,22,error,The Royal Tutor,1
19,1624480402.4449155,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
19,1624480403.3905184,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
19,1624480404.7072315,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
19,1624480405.42077,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
19,1624480405.7220926,6,fin,akira,Mujer,22,finalizada,,1
20,1624480408.3219743,6,inicio_partida,akira,Mujer,22,,,1
20,1624480409.026516,6,intento,akira,Mujer,22,error,Lord Marksman and Vanadis,1
20,1624480410.7222354,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
20,1624480412.1946406,6,intento,akira,Mujer,22,ok,Battle Girls - Time Paradox,1
20,1624480413.2850175,6,intento,akira,Mujer,22,error,The Royal Tutor,1
20,1624480414.6513855,6,intento,akira,Mujer,22,error,The Royal Tutor,1
20,1624480416.278165,6,intento,akira,Mujer,22,ok,The Royal Tutor,1
20,1624480417.9956677,6,intento,akira,Mujer,22,error,Samurai Pizza Cats,1
20,1624480419.7916656,6,intento,akira,Mujer,22,ok,Samurai Pizza Cats,1
20,1624480420.8496537,6,intento,akira,Mujer,22,ok,We Rent Tsukumogami,1
20,1624480422.2029362,6,intento,akira,Mujer,22,error,Sengoku Collection (Parallel World Samurai),1
20,1624480423.7622833,6,intento,akira,Mujer,22,ok,Sengoku Collection (Parallel World Samurai),1
20,1624480424.667369,6,intento,akira,Mujer,22,ok,Lord Marksman and Vanadis,1
20,1624480424.9683075,6,fin,akira,Mujer,22,finalizada,,1
21,1624480426.9538832,6,inicio_partida,akira,Mujer,22,,,1
21,1624480427.913042,6,intento,akira,Mujer,22,error,The Royal Tutor,1
